Species,timeFromHuman_MY,cluster,present
Latimeria chalumnae,411.9,4221,False
Latimeria chalumnae,411.9,8903,False
Latimeria chalumnae,411.9,2706,False
Latimeria chalumnae,411.9,3638,False
Latimeria chalumnae,411.9,5129,False
Latimeria chalumnae,411.9,926,False
Latimeria chalumnae,411.9,13913,False
Latimeria chalumnae,411.9,6061,False
Latimeria chalumnae,411.9,250,False
Latimeria chalumnae,411.9,3627,False
Latimeria chalumnae,411.9,5558,False
Latimeria chalumnae,411.9,924,False
Latimeria chalumnae,411.9,5632,False
Latimeria chalumnae,411.9,15053,False
Latimeria chalumnae,411.9,3602,False
Latimeria chalumnae,411.9,4631,False
Latimeria chalumnae,411.9,5705,False
Latimeria chalumnae,411.9,396,False
Latimeria chalumnae,411.9,392,False
Latimeria chalumnae,411.9,3591,False
Latimeria chalumnae,411.9,254,False
Latimeria chalumnae,411.9,2210,False
Latimeria chalumnae,411.9,2218,False
Latimeria chalumnae,411.9,2696,False
Latimeria chalumnae,411.9,2846,False
Latimeria chalumnae,411.9,3630,False
Latimeria chalumnae,411.9,3637,False
Latimeria chalumnae,411.9,5604,False
Latimeria chalumnae,411.9,307,False
Latimeria chalumnae,411.9,320,False
Latimeria chalumnae,411.9,2703,False
Latimeria chalumnae,411.9,5592,False
Latimeria chalumnae,411.9,5678,False
Latimeria chalumnae,411.9,318,False
Latimeria chalumnae,411.9,322,False
Latimeria chalumnae,411.9,3590,False
Latimeria chalumnae,411.9,5593,False
Latimeria chalumnae,411.9,5667,False
Latimeria chalumnae,411.9,298,False
Latimeria chalumnae,411.9,299,False
Latimeria chalumnae,411.9,302,False
Latimeria chalumnae,411.9,312,False
Latimeria chalumnae,411.9,314,False
Latimeria chalumnae,411.9,315,False
Latimeria chalumnae,411.9,324,False
Latimeria chalumnae,411.9,325,False
Latimeria chalumnae,411.9,333,False
Latimeria chalumnae,411.9,337,False
Latimeria chalumnae,411.9,338,False
Latimeria chalumnae,411.9,341,False
Latimeria chalumnae,411.9,346,False
Latimeria chalumnae,411.9,363,False
Latimeria chalumnae,411.9,366,False
Latimeria chalumnae,411.9,367,False
Latimeria chalumnae,411.9,372,False
Latimeria chalumnae,411.9,380,False
Latimeria chalumnae,411.9,386,False
Latimeria chalumnae,411.9,394,False
Latimeria chalumnae,411.9,398,False
Latimeria chalumnae,411.9,399,False
Latimeria chalumnae,411.9,402,False
Latimeria chalumnae,411.9,404,False
Latimeria chalumnae,411.9,3589,False
Latimeria chalumnae,411.9,3593,False
Latimeria chalumnae,411.9,3597,False
Latimeria chalumnae,411.9,3604,False
Latimeria chalumnae,411.9,3605,False
Latimeria chalumnae,411.9,3610,False
Latimeria chalumnae,411.9,3612,False
Latimeria chalumnae,411.9,3613,False
Latimeria chalumnae,411.9,3620,False
Latimeria chalumnae,411.9,3632,False
Latimeria chalumnae,411.9,3635,False
Latimeria chalumnae,411.9,3636,False
Latimeria chalumnae,411.9,3644,False
Latimeria chalumnae,411.9,3646,False
Latimeria chalumnae,411.9,3647,False
Latimeria chalumnae,411.9,3650,False
Latimeria chalumnae,411.9,3651,False
Latimeria chalumnae,411.9,3652,False
Latimeria chalumnae,411.9,3654,False
Latimeria chalumnae,411.9,3655,False
Latimeria chalumnae,411.9,3658,False
Latimeria chalumnae,411.9,3660,False
Latimeria chalumnae,411.9,3662,False
Latimeria chalumnae,411.9,5585,False
Latimeria chalumnae,411.9,5590,False
Latimeria chalumnae,411.9,5602,False
Latimeria chalumnae,411.9,5610,False
Latimeria chalumnae,411.9,5621,False
Latimeria chalumnae,411.9,5622,False
Latimeria chalumnae,411.9,5631,False
Latimeria chalumnae,411.9,5633,False
Latimeria chalumnae,411.9,5650,False
Latimeria chalumnae,411.9,5653,False
Latimeria chalumnae,411.9,5659,False
Latimeria chalumnae,411.9,5661,False
Latimeria chalumnae,411.9,5671,False
Latimeria chalumnae,411.9,5675,False
Latimeria chalumnae,411.9,5686,False
Latimeria chalumnae,411.9,5688,False
Latimeria chalumnae,411.9,5690,False
Latimeria chalumnae,411.9,5693,False
Latimeria chalumnae,411.9,5694,False
Latimeria chalumnae,411.9,5695,False
Latimeria chalumnae,411.9,5699,False
Latimeria chalumnae,411.9,5700,False
Latimeria chalumnae,411.9,5707,False
Latimeria chalumnae,411.9,5709,False
Latimeria chalumnae,411.9,5714,False
Latimeria chalumnae,411.9,301,False
Latimeria chalumnae,411.9,313,False
Latimeria chalumnae,411.9,319,False
Latimeria chalumnae,411.9,327,False
Latimeria chalumnae,411.9,330,False
Latimeria chalumnae,411.9,348,False
Latimeria chalumnae,411.9,356,False
Latimeria chalumnae,411.9,370,False
Latimeria chalumnae,411.9,374,False
Latimeria chalumnae,411.9,397,False
Latimeria chalumnae,411.9,411,False
Latimeria chalumnae,411.9,3595,False
Latimeria chalumnae,411.9,3596,False
Latimeria chalumnae,411.9,3608,False
Latimeria chalumnae,411.9,3609,False
Latimeria chalumnae,411.9,3625,False
Latimeria chalumnae,411.9,3631,False
Latimeria chalumnae,411.9,3639,False
Latimeria chalumnae,411.9,3661,False
Latimeria chalumnae,411.9,5583,False
Latimeria chalumnae,411.9,5584,False
Latimeria chalumnae,411.9,5591,False
Latimeria chalumnae,411.9,5595,False
Latimeria chalumnae,411.9,5596,False
Latimeria chalumnae,411.9,5600,False
Latimeria chalumnae,411.9,5603,False
Latimeria chalumnae,411.9,5607,False
Latimeria chalumnae,411.9,5612,False
Latimeria chalumnae,411.9,5617,False
Latimeria chalumnae,411.9,5619,False
Latimeria chalumnae,411.9,5620,False
Latimeria chalumnae,411.9,5623,False
Latimeria chalumnae,411.9,5625,False
Latimeria chalumnae,411.9,5630,False
Latimeria chalumnae,411.9,5642,False
Latimeria chalumnae,411.9,5660,False
Latimeria chalumnae,411.9,5672,False
Latimeria chalumnae,411.9,5673,False
Latimeria chalumnae,411.9,5685,False
Latimeria chalumnae,411.9,5687,False
Latimeria chalumnae,411.9,5704,False
Latimeria chalumnae,411.9,305,False
Latimeria chalumnae,411.9,316,False
Latimeria chalumnae,411.9,328,False
Latimeria chalumnae,411.9,334,False
Latimeria chalumnae,411.9,343,False
Latimeria chalumnae,411.9,344,False
Latimeria chalumnae,411.9,355,False
Latimeria chalumnae,411.9,357,False
Latimeria chalumnae,411.9,371,False
Latimeria chalumnae,411.9,387,False
Latimeria chalumnae,411.9,388,False
Latimeria chalumnae,411.9,393,False
Latimeria chalumnae,411.9,408,False
Latimeria chalumnae,411.9,409,False
Latimeria chalumnae,411.9,417,False
Latimeria chalumnae,411.9,3587,False
Latimeria chalumnae,411.9,3611,False
Latimeria chalumnae,411.9,3618,False
Latimeria chalumnae,411.9,3626,False
Latimeria chalumnae,411.9,3659,False
Latimeria chalumnae,411.9,5597,False
Latimeria chalumnae,411.9,5618,False
Latimeria chalumnae,411.9,5646,False
Latimeria chalumnae,411.9,5652,False
Latimeria chalumnae,411.9,5662,False
Latimeria chalumnae,411.9,5706,False
Latimeria chalumnae,411.9,295,False
Latimeria chalumnae,411.9,296,False
Latimeria chalumnae,411.9,297,False
Latimeria chalumnae,411.9,300,False
Latimeria chalumnae,411.9,303,False
Latimeria chalumnae,411.9,304,False
Latimeria chalumnae,411.9,306,False
Latimeria chalumnae,411.9,308,False
Latimeria chalumnae,411.9,309,False
Latimeria chalumnae,411.9,310,False
Latimeria chalumnae,411.9,311,False
Latimeria chalumnae,411.9,317,False
Latimeria chalumnae,411.9,321,False
Latimeria chalumnae,411.9,323,False
Latimeria chalumnae,411.9,326,False
Latimeria chalumnae,411.9,329,False
Latimeria chalumnae,411.9,331,False
Latimeria chalumnae,411.9,332,False
Latimeria chalumnae,411.9,335,False
Latimeria chalumnae,411.9,336,False
Latimeria chalumnae,411.9,339,False
Latimeria chalumnae,411.9,340,False
Latimeria chalumnae,411.9,342,False
Latimeria chalumnae,411.9,345,False
Latimeria chalumnae,411.9,347,False
Latimeria chalumnae,411.9,349,False
Latimeria chalumnae,411.9,350,False
Latimeria chalumnae,411.9,351,False
Latimeria chalumnae,411.9,352,False
Latimeria chalumnae,411.9,353,False
Latimeria chalumnae,411.9,354,False
Latimeria chalumnae,411.9,358,False
Latimeria chalumnae,411.9,359,False
Latimeria chalumnae,411.9,360,False
Latimeria chalumnae,411.9,361,False
Latimeria chalumnae,411.9,362,False
Latimeria chalumnae,411.9,364,False
Latimeria chalumnae,411.9,365,False
Latimeria chalumnae,411.9,368,False
Latimeria chalumnae,411.9,369,False
Latimeria chalumnae,411.9,373,False
Latimeria chalumnae,411.9,375,False
Latimeria chalumnae,411.9,376,False
Latimeria chalumnae,411.9,377,False
Latimeria chalumnae,411.9,378,False
Latimeria chalumnae,411.9,379,False
Latimeria chalumnae,411.9,381,False
Latimeria chalumnae,411.9,382,False
Latimeria chalumnae,411.9,383,False
Latimeria chalumnae,411.9,384,False
Latimeria chalumnae,411.9,385,False
Latimeria chalumnae,411.9,389,False
Latimeria chalumnae,411.9,390,False
Latimeria chalumnae,411.9,391,False
Latimeria chalumnae,411.9,395,False
Latimeria chalumnae,411.9,400,False
Latimeria chalumnae,411.9,401,False
Latimeria chalumnae,411.9,403,False
Latimeria chalumnae,411.9,405,False
Latimeria chalumnae,411.9,406,False
Latimeria chalumnae,411.9,407,False
Latimeria chalumnae,411.9,410,False
Latimeria chalumnae,411.9,412,False
Latimeria chalumnae,411.9,413,False
Latimeria chalumnae,411.9,414,False
Latimeria chalumnae,411.9,415,False
Latimeria chalumnae,411.9,416,False
Latimeria chalumnae,411.9,418,False
Latimeria chalumnae,411.9,419,False
Latimeria chalumnae,411.9,420,False
Latimeria chalumnae,411.9,421,False
Latimeria chalumnae,411.9,422,False
Nanorana parkeri,355.7,4221,False
Nanorana parkeri,355.7,8903,False
Nanorana parkeri,355.7,2706,False
Nanorana parkeri,355.7,3638,False
Nanorana parkeri,355.7,5129,False
Nanorana parkeri,355.7,926,False
Nanorana parkeri,355.7,13913,False
Nanorana parkeri,355.7,6061,False
Nanorana parkeri,355.7,250,False
Nanorana parkeri,355.7,3627,False
Nanorana parkeri,355.7,5558,False
Nanorana parkeri,355.7,924,False
Nanorana parkeri,355.7,5632,False
Nanorana parkeri,355.7,15053,False
Nanorana parkeri,355.7,3602,False
Nanorana parkeri,355.7,4631,False
Nanorana parkeri,355.7,5705,False
Nanorana parkeri,355.7,396,False
Nanorana parkeri,355.7,392,False
Nanorana parkeri,355.7,3591,False
Nanorana parkeri,355.7,254,False
Nanorana parkeri,355.7,2210,False
Nanorana parkeri,355.7,2218,False
Nanorana parkeri,355.7,2696,False
Nanorana parkeri,355.7,2846,False
Nanorana parkeri,355.7,3630,False
Nanorana parkeri,355.7,3637,False
Nanorana parkeri,355.7,5604,False
Nanorana parkeri,355.7,307,False
Nanorana parkeri,355.7,320,False
Nanorana parkeri,355.7,2703,False
Nanorana parkeri,355.7,5592,False
Nanorana parkeri,355.7,5678,False
Nanorana parkeri,355.7,318,False
Nanorana parkeri,355.7,322,True
Nanorana parkeri,355.7,3590,False
Nanorana parkeri,355.7,5593,False
Nanorana parkeri,355.7,5667,False
Nanorana parkeri,355.7,298,False
Nanorana parkeri,355.7,299,False
Nanorana parkeri,355.7,302,False
Nanorana parkeri,355.7,312,False
Nanorana parkeri,355.7,314,False
Nanorana parkeri,355.7,315,False
Nanorana parkeri,355.7,324,False
Nanorana parkeri,355.7,325,False
Nanorana parkeri,355.7,333,False
Nanorana parkeri,355.7,337,False
Nanorana parkeri,355.7,338,False
Nanorana parkeri,355.7,341,False
Nanorana parkeri,355.7,346,False
Nanorana parkeri,355.7,363,False
Nanorana parkeri,355.7,366,False
Nanorana parkeri,355.7,367,False
Nanorana parkeri,355.7,372,False
Nanorana parkeri,355.7,380,False
Nanorana parkeri,355.7,386,False
Nanorana parkeri,355.7,394,False
Nanorana parkeri,355.7,398,False
Nanorana parkeri,355.7,399,False
Nanorana parkeri,355.7,402,False
Nanorana parkeri,355.7,404,False
Nanorana parkeri,355.7,3589,False
Nanorana parkeri,355.7,3593,False
Nanorana parkeri,355.7,3597,False
Nanorana parkeri,355.7,3604,False
Nanorana parkeri,355.7,3605,False
Nanorana parkeri,355.7,3610,False
Nanorana parkeri,355.7,3612,False
Nanorana parkeri,355.7,3613,False
Nanorana parkeri,355.7,3620,False
Nanorana parkeri,355.7,3632,False
Nanorana parkeri,355.7,3635,False
Nanorana parkeri,355.7,3636,False
Nanorana parkeri,355.7,3644,False
Nanorana parkeri,355.7,3646,False
Nanorana parkeri,355.7,3647,False
Nanorana parkeri,355.7,3650,False
Nanorana parkeri,355.7,3651,False
Nanorana parkeri,355.7,3652,False
Nanorana parkeri,355.7,3654,False
Nanorana parkeri,355.7,3655,False
Nanorana parkeri,355.7,3658,False
Nanorana parkeri,355.7,3660,False
Nanorana parkeri,355.7,3662,False
Nanorana parkeri,355.7,5585,False
Nanorana parkeri,355.7,5590,False
Nanorana parkeri,355.7,5602,False
Nanorana parkeri,355.7,5610,False
Nanorana parkeri,355.7,5621,False
Nanorana parkeri,355.7,5622,False
Nanorana parkeri,355.7,5631,False
Nanorana parkeri,355.7,5633,False
Nanorana parkeri,355.7,5650,False
Nanorana parkeri,355.7,5653,False
Nanorana parkeri,355.7,5659,False
Nanorana parkeri,355.7,5661,False
Nanorana parkeri,355.7,5671,False
Nanorana parkeri,355.7,5675,False
Nanorana parkeri,355.7,5686,False
Nanorana parkeri,355.7,5688,False
Nanorana parkeri,355.7,5690,False
Nanorana parkeri,355.7,5693,False
Nanorana parkeri,355.7,5694,False
Nanorana parkeri,355.7,5695,False
Nanorana parkeri,355.7,5699,False
Nanorana parkeri,355.7,5700,False
Nanorana parkeri,355.7,5707,False
Nanorana parkeri,355.7,5709,False
Nanorana parkeri,355.7,5714,False
Nanorana parkeri,355.7,301,False
Nanorana parkeri,355.7,313,False
Nanorana parkeri,355.7,319,False
Nanorana parkeri,355.7,327,False
Nanorana parkeri,355.7,330,False
Nanorana parkeri,355.7,348,False
Nanorana parkeri,355.7,356,False
Nanorana parkeri,355.7,370,False
Nanorana parkeri,355.7,374,False
Nanorana parkeri,355.7,397,False
Nanorana parkeri,355.7,411,False
Nanorana parkeri,355.7,3595,False
Nanorana parkeri,355.7,3596,False
Nanorana parkeri,355.7,3608,False
Nanorana parkeri,355.7,3609,False
Nanorana parkeri,355.7,3625,False
Nanorana parkeri,355.7,3631,False
Nanorana parkeri,355.7,3639,False
Nanorana parkeri,355.7,3661,False
Nanorana parkeri,355.7,5583,False
Nanorana parkeri,355.7,5584,False
Nanorana parkeri,355.7,5591,False
Nanorana parkeri,355.7,5595,False
Nanorana parkeri,355.7,5596,False
Nanorana parkeri,355.7,5600,False
Nanorana parkeri,355.7,5603,False
Nanorana parkeri,355.7,5607,False
Nanorana parkeri,355.7,5612,False
Nanorana parkeri,355.7,5617,False
Nanorana parkeri,355.7,5619,False
